 ,"(225, 75)","(250, 1)","(350, 100)","(500, 1)","(500, 125)","(700, 1)"
no cut,7030.428466796875,4727.571929931641,1263.7554626464844,280.6529293060303,281.5147113800049,53.267066955566406
(HLT_SingleMu || HLT_SingleEl),7030.428466796875,4727.571929931641,1263.7554626464844,280.6529293060303,281.5147113800049,53.267066955566406
((abs(lep1_pdgid)==11 && lep1_p4.Pt()>30 && fabs(lep1_p4.Eta())<1.442 && lep1_MiniIso < 0.10&& lep1_passMediumID && lep1_relIso*lep1_p4.Pt() < 5)||(abs(lep1_pdgid)==13 && lep1_p4.Pt()>25 && fabs(lep1_p4.Eta())<2.100 && lep1_MiniIso < 0.10&& lep1_passTightID && lep1_relIso*lep1_p4.Pt() < 5)||(abs(lep2_pdgid)==11 && lep2_p4.Pt()>30 && fabs(lep2_p4.Eta())<1.442 && lep2_MiniIso < 0.10&& lep2_passMediumID && lep2_relIso*lep2_p4.Pt() < 5)||(abs(lep2_pdgid)==13 && lep2_p4.Pt()>25 && fabs(lep2_p4.Eta())<2.100 && lep2_MiniIso < 0.10&& lep2_passTightID && lep2_relIso*lep2_p4.Pt() < 5)),2537.07275390625,1810.9623489379883,524.789722442627,129.61439633369446,127.6111832857132,26.225604012608528
!((abs(lep2_pdgid) == 11 && lep2_p4.Pt()>5 && abs(lep2_p4.Eta())<2.400 && lep2_MiniIso < 0.20 && lep2_passVeto )||(abs(lep2_pdgid) == 13 && lep2_p4.Pt()>5 && abs(lep2_p4.Eta())<2.400 && lep2_MiniIso < 0.20 && lep2_passVeto)||(abs(lep2_pdgid)==11 && lep2_p4.Pt()>30 && fabs(lep2_p4.Eta())<1.442 && lep2_MiniIso < 0.10&& lep2_passMediumID && lep2_relIso*lep2_p4.Pt() < 5)||(abs(lep2_pdgid)==13 && lep2_p4.Pt()>25 && fabs(lep2_p4.Eta())<2.100 && lep2_MiniIso < 0.10&& lep2_passTightID && lep2_relIso*lep2_p4.Pt() < 5)),2439.7337226867676,1745.8450412750244,507.82587480545044,126.03807461261749,124.15417945384979,25.659005507826805
PassTrackVeto == 1,2403.77392578125,1719.532470703125,501.1007995605469,124.14415740966797,122.60552978515625,25.430904388427734
PassTauVeto == 1,2394.585205078125,1712.798828125,499.0201110839844,123.7876968383789,122.27359771728516,25.368331909179688
ngoodjets == 2,985.9926147460938,714.0977783203125,203.87405395507812,50.48343276977539,49.322139739990234,10.41296672821045
nbtag_loose == 2 && nbtag_med >= 1,450.3238220214844,329.4121398925781,96.61127471923828,24.34197425842285,24.235610961914062,5.0812811851501465
(mbb > 90 && mbb < 150),387.8276062011719,289.0194396972656,84.6315689086914,21.609081268310547,21.74008560180664,4.582749366760254
mct > 170,64.37255859375,84.52306365966797,33.09736251831055,14.534961700439453,13.408856391906738,3.859668254852295
(pfmet > 125),46.592437744140625,66.50643920898438,27.82755470275879,13.216320991516113,11.998462677001953,3.6441152095794678
mt_met_lep > 150,5.751643657684326,21.168075561523438,12.966742515563965,8.592476844787598,7.670744895935059,2.7295830249786377
